Feature,P-Value,Bonferroni Corrected P-Value
Cytochrom_C552,1.0,1.0
Cytochrome_C7,1.0,1.0
DAO,1.0,1.0
DAO_C,1.0,1.0
DHDPS,1.0,1.0
DHO_dh,1.0,1.0
DNA_binding_1,1.0,1.0
DNA_gyraseA_C,1.0,1.0
DNA_gyraseB,1.0,1.0
DNA_gyraseB_C,1.0,1.0
DNA_ligase_OB,0.234375,1.0
DNA_ligase_aden,0.234375,1.0
DNA_topoisoIV,1.0,1.0
Dala_Dala_lig_C,0.05422794117647059,1.0
Dala_Dala_lig_N,0.05422794117647059,1.0
DeoC,1.0,1.0
DnaJ,1.0,1.0
DnaJ_C,1.0,1.0
DnaJ_CXXCXGXG,1.0,1.0
Dus,1.0,1.0
ECH_1,1.0,1.0
ECH_2,1.0,1.0
EFG_C,1.0,1.0
EFG_III,1.0,1.0
EFG_IV,1.0,1.0
ELFV_dehydrog,0.234375,1.0
ELFV_dehydrog_N,0.234375,1.0
ETF,1.0,1.0
EamA,0.05422794117647059,1.0
FAD_binding_2,1.0,1.0
FAD_binding_3,1.0,1.0
FAD_binding_4,0.234375,1.0
FAD_oxidored,1.0,1.0
FCD,0.575801360972636,1.0
FKBP_C,0.05422794117647059,1.0
FKBP_N,0.05422794117647059,1.0
Fe-ADH,1.0,1.0
Fe-ADH_2,1.0,1.0
Fer2_BFD,1.0,1.0
Ferritin,1.0,1.0
FtsX,1.0,1.0
Fumerase,1.0,1.0
Fumerase_C,1.0,1.0
GATase,1.0,1.0
GIDA,1.0,1.0
GTP_EFTU,0.6897984247067768,1.0
GTP_EFTU_D2,0.6850819095268802,1.0
GTP_EFTU_D3,1.0,1.0
GerE,0.234375,1.0
Gln-synt_C,1.0,1.0
Gln-synt_N,1.0,1.0
Gly_radical,1.0,1.0
GntR,0.575801360972636,1.0
GreA_GreB,0.05422794117647059,1.0
GreA_GreB_N,0.05422794117647059,1.0
GyrB_insert,1.0,1.0
HAMP,0.5938971362486047,1.0
HATPase_c,1.0,1.0
HI0933_like,1.0,1.0
HMA,1.0,1.0
HTH_1,0.012382758221398794,1.0
HTH_11,0.234375,1.0
HTH_18,0.41452205882352944,1.0
HTH_24,0.05422794117647059,1.0
HTH_27,1.0,1.0
HTH_AraC,0.41452205882352944,1.0
HTH_AsnC-type,0.234375,1.0
HTH_Crp_2,1.0,1.0
HTH_IclR,0.012382758221398794,1.0
HU-HIG,0.575801360972636,1.0
Histone_HNS,1.0,1.0
IF-2,1.0,1.0
IF2_N,1.0,1.0
IF2_assoc,1.0,1.0
IclR,0.012382758221398794,1.0
Ivy,0.234375,1.0
KduI,0.234375,1.0
Lact-deh-memb,0.234375,1.0
LepA_C,1.0,1.0
Lycopene_cycl,1.0,1.0
LysR_substrate,0.012382758221398794,1.0
MCPsignal,0.5938971362486047,1.0
MFS_1,1.0,1.0
MFS_1_like,0.234375,1.0
MFS_2,1.0,1.0
MMR_HSR1,0.4604962480983252,1.0
MTS,0.41452205882352944,1.0
MacB_PCD,1.0,1.0
Mannitol_dh,0.05422794117647059,1.0
Mannitol_dh_C,0.05422794117647059,1.0
MaoC_dehydratas,0.41452205882352944,1.0
MarR,1.0,1.0
MarR_2,1.0,1.0
MazE_antitoxin,1.0,1.0
Met_10,1.0,1.0
Metallophos,0.05422794117647059,1.0
Methyltr_RsmB-F,0.234375,1.0
Methyltr_RsmF_N,0.234375,1.0
Methyltranf_PUA,0.234375,1.0
Methyltransf_10,0.234375,1.0
Methyltransf_11,1.0,1.0
Methyltransf_1N,1.0,1.0
Methyltransf_25,1.0,1.0
Methyltransf_31,1.0,1.0
Molybdop_Fe4S4,0.575801360972636,1.0
Molybdopterin,0.12151648219606126,1.0
Molybdopterin_N,1.0,1.0
Molydop_binding,0.12151648219606126,1.0
NAD_binding_2,0.012382758221398794,1.0
NAD_binding_7,1.0,1.0
NAD_binding_8,1.0,1.0
NAD_binding_9,1.0,1.0
NIL,1.0,1.0
NIR_SIR,1.0,1.0
NIR_SIR_ferr,1.0,1.0
NiFe_hyd_SSU_C,1.0,1.0
Nitr_red_alph_N,1.0,1.0
NusG,0.234375,1.0
OB_MalK,1.0,1.0
OB_RNB,1.0,1.0
Osmo_CC,1.0,1.0
Oxidored_q4,1.0,1.0
Oxidored_q6,1.0,1.0
PAS,1.0,1.0
PAS_3,1.0,1.0
PAS_9,1.0,1.0
PCMT,1.0,1.0
PFL-like,1.0,1.0
PMSR,1.0,1.0
PRC,0.234375,1.0
PRODH,0.234375,1.0
PTPS,0.234375,1.0
PTS_EIIA_1,1.0,1.0
PTS_EIIA_2,1.0,1.0
PTS_EIIB,0.575801360972636,1.0
PTS_EIIC,0.3408513677596876,1.0
PTS_IIB,1.0,1.0
Paired_CXXCH_1,1.0,1.0
PduV-EutP,1.0,1.0
PdxA,1.0,1.0
Peptidase_C26,1.0,1.0
Peptidase_C39,1.0,1.0
Peptidase_C70,1.0,1.0
Peptidase_M3,0.05422794117647059,1.0
Peripla_BP_1,1.0,1.0
Peripla_BP_4,1.0,1.0
Pro_dh,0.234375,1.0
Pro_dh-DNA_bdg,0.234375,1.0
Pyr_redox,0.3408513677596876,1.0
Pyr_redox_2,0.3408513677596876,1.0
Pyr_redox_3,0.5938971362486047,1.0
Pyr_redox_dim,0.575801360972636,1.0
Pyridoxal_deC,1.0,1.0
Queuosine_synth,1.0,1.0
RF3_C,0.234375,1.0
RNA_helicase,1.0,1.0
RNR_N,1.0,1.0
Ras,1.0,1.0
Ribonuc_red_lgC,1.0,1.0
Ribonuc_red_lgN,1.0,1.0
Ribosomal_L13,1.0,1.0
Ribosomal_S22,1.0,1.0
RimM,0.234375,1.0
RrnaAD,1.0,1.0
RsgA_GTPase,1.0,1.0
Rubredoxin_C,1.0,1.0
SBP_bac_1,1.0,1.0
SBP_bac_8,1.0,1.0
SMC_N,1.0,1.0
SelB-wing_2,1.0,1.0
SelB-wing_3,1.0,1.0
SmpA_OmlA,1.0,1.0
Sugar_tr,0.41452205882352944,1.0
TOBE,1.0,1.0
TOBE_2,0.575801360972636,1.0
TOP_N,0.234375,1.0
TRAM,1.0,1.0
TarH,0.575801360972636,1.0
TniB,1.0,1.0
Topo_Zn_Ribbon,1.0,1.0
Topoisom_bac,1.0,1.0
Toprim,0.575801360972636,1.0
Transp_cyt_pur,0.234375,1.0
TsaE,1.0,1.0
UDPG_MGDP_dh,0.05422794117647059,1.0
UDPG_MGDP_dh_C,0.05422794117647059,1.0
UDPG_MGDP_dh_N,0.05422794117647059,1.0
Usp,0.012382758221398794,1.0
UvrA_DNA-bind,1.0,1.0
UvrA_inter,1.0,1.0
Zeta_toxin,1.0,1.0
cNMP_binding,1.0,1.0
oligo_HPY,0.20406761132669407,1.0
polyprenyl_synt,0.05422794117647059,1.0
tRNA-synt_1c,1.0,1.0
tRNA_U5-meth_tr,1.0,1.0
zf-C4_Topoisom,1.0,1.0
